transaction_id,customer_id,date,amount,product_category,campaign_id
1,489,2024-12-08,246.44,Fashion,6
2,409,2024-04-22,134.24,Fashion,6
3,471,2024-04-25,271.31,Fitness,15
4,193,2024-05-18,291.44,Fitness,6
5,351,2024-03-16,182.8,Home,2
6,453,2024-07-04,55.67,Fitness,4
7,223,2024-10-06,239.26,Beauty,4
8,418,2024-07-22,223.47,Beauty,3
9,17,2024-11-30,49.99,Fitness,18
10,265,2024-01-03,27.84,Beauty,5
11,86,2024-09-06,232.96,Fashion,11
12,493,2024-03-17,116.07,Beauty,19
13,355,2024-08-06,291.72,Home,9
14,244,2024-01-21,223.57,Fashion,20
15,268,2024-06-22,186.79,Home,6
16,81,2024-07-29,171.03,Electronics,10
17,362,2024-05-29,192.56,Home,19
18,90,2024-09-19,283.27,Fashion,15
19,471,2024-05-23,159.2,Beauty,17
20,448,2024-02-07,61.68,Home,20
21,382,2024-05-05,58.55,Electronics,4
22,403,2024-09-14,169.41,Beauty,15
23,246,2024-11-28,20.28,Home,13
24,3,2024-11-08,22.58,Fitness,5
25,103,2024-08-02,282.52,Fitness,18
26,449,2024-04-29,64.59,Home,11
27,108,2024-12-14,270.98,Electronics,9
28,317,2024-08-15,34.16,Beauty,3
29,253,2024-05-03,210.84,Fashion,3
30,181,2024-05-05,128.69,Electronics,6
31,264,2024-06-06,105.86,Home,1
32,454,2024-04-20,259.66,Electronics,18
33,394,2024-09-20,17.56,Fitness,11
34,158,2024-12-06,148.67,Home,14
35,475,2024-02-19,66.63,Fitness,20
36,464,2024-05-03,116.64,Home,12
37,333,2024-05-30,289.2,Home,9
38,157,2024-01-16,176.06,Home,20
39,494,2024-07-11,150.32,Home,2
40,327,2024-07-27,92.37,Electronics,3
41,469,2024-09-07,105.06,Fitness,1
42,56,2024-04-13,280.33,Home,10
43,156,2024-06-20,57.46,Fashion,18
44,324,2024-11-29,264.45,Fashion,11
45,123,2024-12-01,131.26,Fashion,14
46,124,2024-06-20,58.5,Fashion,10
47,127,2024-07-17,111.6,Beauty,20
48,365,2024-08-28,71.47,Fashion,6
49,368,2024-07-14,267.76,Electronics,15
50,445,2024-08-27,238.1,Home,16
51,489,2024-11-21,289.74,Electronics,14
52,304,2024-12-02,116.23,Home,19
53,278,2024-11-22,221.32,Electronics,3
54,181,2024-10-09,98.59,Electronics,18
55,421,2024-08-20,106.18,Fitness,20
56,463,2024-10-22,251.14,Fashion,17
57,363,2024-10-21,30.19,Fitness,17
58,147,2024-10-12,218.01,Fashion,9
59,285,2024-01-05,267.14,Fitness,8
60,164,2024-07-02,72.79,Home,7
61,493,2024-04-03,125.83,Beauty,3
62,464,2024-11-30,161.17,Fashion,19
63,451,2024-09-06,222.8,Beauty,19
64,489,2024-05-14,283.86,Home,10
65,456,2024-03-16,188.75,Fashion,7
66,49,2024-11-21,177.68,Fitness,7
67,208,2024-05-22,187.77,Home,6
68,497,2024-11-15,153.04,Home,14
69,286,2024-08-14,292.38,Fitness,5
70,287,2024-12-08,79.64,Beauty,8
71,117,2024-01-16,189.76,Electronics,19
72,32,2024-01-21,126.55,Beauty,18
73,24,2024-05-13,284.79,Fitness,9
74,201,2024-12-27,283.79,Fashion,20
75,36,2024-10-28,146.59,Fitness,11
76,278,2024-05-14,115.88,Electronics,5
77,71,2024-08-16,72.73,Home,1
78,312,2024-11-28,213.19,Fitness,6
79,483,2024-11-25,141.62,Fashion,4
80,357,2024-08-17,215.14,Fitness,16
81,227,2024-01-04,118.76,Fashion,12
82,38,2024-04-10,36.18,Electronics,9
83,322,2024-05-04,212.23,Electronics,9
84,325,2024-03-04,143.15,Home,
85,439,2024-11-07,226.93,Beauty,14
86,84,2024-11-13,174.22,Fitness,1
87,141,2024-11-05,117.75,Beauty,15
88,382,2024-08-24,117.91,Beauty,2
89,251,2024-10-04,105.48,Home,19
90,366,2024-07-30,207.98,Home,14
91,363,2024-06-14,10.68,Beauty,20
92,317,2024-07-21,298.67,Fashion,7
93,431,2024-10-18,221.55,Home,2
94,130,2024-09-22,231.07,Fashion,15
95,180,2024-07-27,152.35,Fitness,19
96,136,2024-02-09,262.95,Electronics,19
97,99,2024-08-08,81.09,Beauty,20
98,64,2024-09-03,114.98,Beauty,8
99,429,2024-02-12,299.61,Electronics,19
100,66,2024-01-10,187.22,Fashion,11
101,36,2024-10-25,203.02,Beauty,8
102,53,2024-04-05,133.11,Fitness,19
103,435,2024-03-24,168.13,Electronics,18
104,77,2024-09-08,269.09,Fashion,13
105,380,2024-01-06,284.81,Beauty,11
106,392,2024-04-30,243.42,Home,16
107,130,2024-07-17,159.06,Fitness,1
108,47,2024-02-07,60.13,Beauty,14
109,400,2024-06-13,138.96,Home,
110,110,2024-07-20,12.85,Fashion,11
111,22,2024-07-05,14.76,Fashion,18
112,171,2024-02-05,219.66,Fitness,9
113,126,2024-11-11,49.45,Beauty,2
114,313,2024-09-18,142.34,Fashion,4
115,314,2024-06-26,107.87,Beauty,11
116,212,2024-11-10,205.75,Fashion,18
117,50,2024-06-16,186.85,Home,19
118,302,2024-04-08,108.61,Beauty,5
119,130,2024-10-10,204.68,Electronics,20
120,242,2024-09-24,208.72,Fashion,9
121,425,2024-01-05,263.19,Fashion,6
122,265,2024-08-13,166.87,Fitness,18
123,85,2024-09-06,277.97,Beauty,2
